ip,mac,flag
10.64.17.195,00:1a:4a:56:04:43,none
10.64.17.196,00:1a:4a:56:01:e1,perm_remote
10.64.17.197,00:1a:4a:56:04:49,perm_remote
10.64.17.198,00:1a:4a:56:01:e6,perm_remote
10.64.17.199,00:1a:4a:56:0d:21,perm_remote
10.64.17.202,00:1a:4a:56:02:5d,none
10.64.17.205,00:1a:4a:56:04:52,none
10.64.17.207,00:1a:4a:56:02:be,perm_remote
10.64.17.208,00:1a:4a:56:02:c1,perm_remote
10.64.17.209,00:1a:4a:56:04:53,none
10.64.17.210,00:1a:4a:56:02:ca,none
10.64.17.212,00:1a:4a:56:02:de,perm_remote
10.64.17.213,00:1a:4a:56:04:81,none
10.64.17.214,00:1a:4a:56:02:e0,none
10.64.17.215,00:1a:4a:56:04:80,none
10.64.17.224,00:1a:4a:56:02:f0,none
10.64.17.226,00:1a:4a:56:02:f2,perm_remote
10.64.17.228,00:1a:4a:56:02:ee,none
10.64.17.230,00:1a:4a:56:03:00,perm_remote
10.64.17.232,00:1a:4a:56:03:01,perm_remote
10.64.17.234,00:1a:4a:56:03:05,none
10.64.17.236,00:1a:4a:56:03:47,none
10.64.17.237,00:1a:4a:56:03:45,perm_remote
10.64.17.239,00:1a:4a:56:03:48,none
10.64.17.240,00:1a:4a:56:03:46,none
10.64.17.241,00:1a:4a:56:03:49,none
10.64.17.246,00:1a:4a:56:03:52,perm_remote
10.64.17.248,00:1a:4a:56:03:55,perm_remote
10.64.17.250,00:1a:4a:56:03:62,none
10.64.17.254,00:1a:4a:56:03:76,perm_remote
10.64.18.11,00:01:a4:ab:8d:f8,none
10.64.18.50,00:01:a4:ab:93:74,perm_remote
10.64.18.51,00:01:a4:ab:98:3e,perm_remote
10.64.18.52,00:01:a4:ab:98:0b,perm_remote
10.64.18.53,00:01:a4:ab:90:4a,perm_remote
10.64.18.55,00:01:a4:ab:9c:39,none
10.64.18.56,00:01:a4:ab:9c:36,none
10.64.18.58,00:01:a4:ab:96:4e,perm_remote
10.64.18.60,00:01:a4:ab:98:0a,perm_remote
10.64.18.64,00:01:a4:ab:9a:8f,none
10.64.18.65,00:1a:4a:56:04:7d,none
10.64.18.67,00:1a:4a:56:e8:50,none
10.64.18.68,00:01:a4:ab:8f:e0,perm_remote
10.64.18.69,00:01:a4:ab:9c:1b,perm_remote
10.64.18.70,00:01:a4:ab:9c:37,perm_remote
10.64.18.71,00:01:a4:ab:93:85,perm_remote
10.64.18.72,00:01:a4:ab:8d:0b,perm_remote
10.64.18.73,00:01:a4:ab:8d:9a,perm_remote
10.64.18.74,00:01:a4:ab:9a:8c,none
10.64.18.75,00:01:a4:ab:8d:9c,none
10.64.18.76,00:1a:4a:56:01:a4,perm_remote
10.64.18.77,00:01:a4:ab:8d:9b,none
10.64.18.79,00:01:a4:ab:96:05,perm_remote
10.64.18.80,00:1a:4a:56:04:01,none
10.64.18.81,00:1a:4a:56:01:ab,perm_remote
10.64.18.82,00:01:a4:ab:9a:88,perm_remote
10.64.18.83,00:01:a4:ab:99:b3,perm_remote
10.64.18.84,00:01:a4:ab:96:06,perm_remote
10.64.18.86,00:01:a4:ab:9a:8d,perm_remote
10.64.18.87,00:01:a4:ab:90:ac,perm_remote
10.64.18.88,00:01:a4:ab:8d:14,perm_remote
10.64.18.89,00:1a:4a:56:03:44,perm_remote
10.64.18.90,00:01:a4:ab:96:01,perm_remote
10.64.18.91,00:01:a4:ab:91:b8,perm_remote
10.64.18.92,00:01:a4:ab:8d:3f,perm_remote
10.64.18.93,00:01:a4:ab:98:14,none
10.64.18.94,00:01:a4:ab:98:15,perm_remote
10.64.18.95,00:1a:4a:56:e2:55,none
10.64.18.96,00:01:a4:ab:09:11,perm_remote
10.64.18.97,00:01:a4:ab:9c:7b,perm_remote
10.64.18.98,00:01:a4:ab:91:64,none
10.64.18.100,00:1a:4a:56:e3:f7,none
10.64.18.101,00:01:a4:ab:91:6b,none
10.64.18.102,00:01:a4:ab:98:12,perm_remote
10.64.18.103,00:01:a4:ab:91:66,perm_remote
10.64.18.104,00:01:a4:ab:8d:f4,perm_remote
10.64.18.105,00:01:a4:ab:8d:3e,none
10.64.18.106,00:01:a4:ab:8d:3b,perm_remote
10.64.18.107,00:01:a4:ab:9a:89,perm_remote
10.64.18.108,00:01:a4:ab:9c:b0,none
10.64.18.111,00:01:a4:ab:9c:c4,none
10.64.18.112,00:01:a4:ab:96:0a,perm_remote
10.64.18.113,00:01:a4:ab:90:ba,none
10.64.18.114,00:01:a4:ab:91:4d,perm_remote
10.64.18.115,00:01:a4:ab:90:bb,perm_remote
10.64.18.116,00:01:a4:ab:90:45,perm_remote
10.64.18.117,00:01:a4:ab:9a:16,none
10.64.18.118,00:1a:4a:56:01:ce,none
10.64.18.120,00:01:a4:ab:9b:b8,perm_remote
